-2.375369720615840308e+01,-2.288714460718152566e+01,-2.323742994606885048e+01,inf,inf,-2.738072623965674879e+01,-3.038238747199678613e+01,-3.466254709899752839e+01,-4.173796759885081542e+01,inf
-2.355687936264024174e+01,-2.261207108428759227e+01,-2.286782852355218409e+01,inf,inf,-2.692245372670362258e+01,-3.077692988395181573e+01,-3.399935416299754110e+01,-4.127373154806564770e+01,inf
-2.336319491950867899e+01,-2.234352420485373614e+01,inf,-2.333897554241502803e+01,inf,-2.655597602366869836e+01,-3.017673805022625544e+01,inf,-4.081705861619614240e+01,inf
-2.317226236207636703e+01,-2.208017780969894872e+01,-2.196709006664477215e+01,-2.292048822490850313e+01,inf,-2.612591062519669194e+01,-2.959288325487328564e+01,inf,-4.036515079404854589e+01,inf
-2.298373207403133733e+01,-2.182078484442575927e+01,-2.162558553909008907e+01,-2.250697825145356035e+01,inf,-2.569811037920145580e+01,-2.902830868037503365e+01,-3.544825765026373432e+01,-3.991915749902332777e+01,-4.607076381845773483e+01
-2.279732932888312646e+01,-2.150151337575820065e+01,-2.108859890502914780e+01,-2.209839535817465261e+01,inf,-2.527195674665737002e+01,-2.848072206350786573e+01,-3.500061729331333282e+01,-3.948034599381615806e+01,-4.570738616881702399e+01
-2.261343262949428734e+01,-2.128134564582255095e+01,-2.077155490239256608e+01,-2.169462598606886417e+01,-2.334798434337301387e+01,-2.484743523119387376e+01,-2.795104552540943033e+01,-3.456089666238943181e+01,-3.904942196600885751e+01,inf
-2.243064145655401376e+01,-2.106726302098304160e+01,-2.046388906474934544e+01,-2.113757248637402242e+01,-2.294389544878200127e+01,-2.442458726755291920e+01,-2.743848703069171435e+01,-3.473533115185361453e+01,-3.862418281273750154e+01,inf
-2.224925330441129745e+01,-2.085825562458449767e+01,-2.016513067395458236e+01,-2.075036395611582662e+01,-2.254230470362807282e+01,-2.400347506145700649e+01,-2.694236721053358607e+01,-3.433073657480522201e+01,inf,-4.539695920607466206e+01
-2.206915858919495932e+01,-2.065394949791535240e+01,-1.987486678773828785e+01,-2.036916516504428643e+01,-2.214331088107766377e+01,-2.358415422955444285e+01,-2.646075477731466918e+01,-3.393640401317165356e+01,inf,-4.506572668062142384e+01
